se,2023-10-15 22:05:40,dear,Module 1,correct
ss,2023-10-15 22:14:30,dear,Module 1,fault
ss,2023-10-15 22:14:33,dear,Module 1,correct
sss,2023-10-15 22:38:56,dear,Module 1,correct
song shen,2023-10-16 10:03:30,dear,Module 1,correct
song shen,2023-10-16 10:03:35,well,Module 1,fault
song shen,2023-10-16 10:04:30,invent,Module 4,fault
songshen,2023-10-16 11:29:05,didn't,Module 3,correct
songshen,2023-10-16 11:29:11,National Day,Module 3,fault
ss,2023-10-16 15:35:05,dear,Module 1,fault
ss,2023-10-16 15:35:54,dear,Module 1,fault
ss,2023-10-16 15:35:58,dear,Module 1,correct
ss,2023-10-16 15:36:07,well,Module 1,fault
ss,2023-10-16 15:36:10,well,Module 1,correct
ss,2023-10-16 15:36:15,of,Module 1,fault
ss,2023-10-16 15:36:20,of,Module 1,correct
ss,2023-10-16 15:36:44,soon,Module 1,correct
ss,2023-10-16 15:36:49,tell,Module 1,fault
test,2023-10-16 16:07:52,invent,Module 4,fault
songshen,2023-10-16 17:09:16,dear,Module 1,correct
songshen,2023-10-16 17:09:19,well,Module 1,fault
ss,2023-10-24 22:46:10,soon,book1,Module 1,correct
ss,2023-10-24 22:52:16,dear,book1,Module 1,correct
ss,2023-10-24 22:52:49,well,book1,Module 1,fault
ss,2023-10-24 22:53:05,of,book1,Module 1,correct
ss,2023-10-24 22:53:27,soon,book1,Module 1,fault
ss,2023-10-24 22:54:06,tell,book1,Module 1,fault
ss,2023-10-24 22:54:19,love,book1,Module 1,fault
ss,2023-10-24 23:08:57,dear,book1,Module 1,fault
ss,2023-10-24 23:10:05,dear,book1,Module 1,fault
ss,2023-10-24 23:10:18,dear,book1,Module 1,fault
ss,2023-10-24 23:10:54,dear,book1,Module 1,fault
ss,2023-10-24 23:13:09,dear,book1,Module 1,correct
ss,2023-10-24 23:15:00,dear,book1,Module 1,correct
ss,2023-10-24 23:15:16,well,book1,Module 1,correct
ss,2023-10-24 23:15:36,of,book1,Module 1,fault
ss,2023-10-24 23:16:00,soon,book1,Module 1,fault
ss,2023-10-24 23:16:14,tell,book1,Module 1,fault
ss,2023-10-24 23:29:45,dear,book1,Module 1,fault
ss,2023-10-24 23:30:03,well,book1,Module 1,fault
ss,2023-10-24 23:45:15,dear,book1,Module 1,fault
ss,2023-10-24 23:58:02,dear,book1,Module 1,fault
ss,2023-10-24 23:58:20,well,book1,Module 1,correct
ss,2023-10-24 23:58:34,of,book1,Module 1,correct
ss,2023-10-24 23:58:39,soon,book1,Module 1,correct
ss,2023-10-24 23:58:44,tell,book1,Module 1,fault
sss,2023-10-25 00:00:05,dear,book1,Module 1,fault
sss,2023-10-25 00:00:09,dear,book1,Module 1,correct
sss,2023-10-25 00:00:19,well,book1,Module 1,correct
ss,2023-10-25 08:57:49,dear,book1,Module 1,correct
ss,2023-10-25 08:57:53,well,book1,Module 1,fault
ss,2023-10-25 08:57:56,well,book1,Module 1,correct
ss,2023-10-25 09:16:47,dear,book1,Module 1,fault
7,2023-10-25 20:13:58,went,book1,Module 5,fault
7,2023-10-25 20:14:05,went,book1,Module 5,correct
7,2023-10-25 20:14:14,saw,book1,Module 5,correct
7,2023-10-25 20:14:25,trip,book1,Module 5,fault
7,2023-10-25 20:14:41,trip,book1,Module 5,correct
7,2023-10-25 20:14:46,took,book1,Module 5,fault
7,2023-10-25 20:16:17,took,book1,Module 5,fault
7,2023-10-25 20:16:47,took,book1,Module 5,correct
7,2023-10-25 20:17:10,fifty,book1,Module 5,correct
7,2023-10-25 20:17:51,minute,book1,Module 5,fault
7,2023-10-25 20:18:00,minute,book1,Module 5,correct
7,2023-10-25 20:18:07,top,book1,Module 5,correct
7,2023-10-25 20:18:13,mountain,book1,Module 5,correct
7,2023-10-25 20:18:22,ate,book1,Module 5,fault
7,2023-10-25 20:18:29,ate,book1,Module 5,correct
7,2023-10-25 20:18:34,candies,book1,Module 5,correct
7,2023-10-25 20:18:46,plant,book1,Module 5,fault
7,2023-10-25 20:18:54,plant,book1,Module 5,correct
7,2023-10-25 20:19:00,had,book1,Module 5,correct
7,2023-10-25 20:19:05,have a good time,book1,Module 5,correct
7,2023-10-25 20:19:10,bought,book1,Module 5,fault
7,2023-10-25 20:19:14,bought,book1,Module 5,correct
7,2023-10-25 20:19:20,wore,book1,Module 5,correct
7,2023-10-25 20:19:24,go on a trip,book1,Module 5,correct
7,2023-10-25 20:19:30,ice,book1,Module 5,correct
7,2023-10-25 20:19:36,at first,book1,Module 5,fault
7,2023-10-25 20:19:45,at first,book1,Module 5,correct
7,2023-10-25 20:19:50,fell,book1,Module 5,fault
7,2023-10-25 20:19:56,fell,book1,Module 5,correct
7,2023-10-25 20:20:06,fall over,book1,Module 5,fault
7,2023-10-25 20:20:12,fall over,book1,Module 5,correct
7,2023-10-25 20:20:24,hurt,book1,Module 5,fault
7,2023-10-25 20:20:28,hurt,book1,Module 5,correct
7,2023-10-25 20:20:37,a lot,book1,Module 5,correct
7,2023-10-25 20:20:42,able,book1,Module 5,correct
7,2023-10-25 20:20:53,be able to,book1,Module 5,correct
7,2023-10-25 20:20:58,skate,book1,Module 5,correct
ss,2023-10-28 17:06:11,went,book1,Module 5,fault
ss,2023-10-28 17:06:16,went,book1,Module 5,correct
ss,2023-10-28 17:36:02,invent,book1,Module 4,correct
ss,2023-10-28 18:37:23,become,book1,Module 6,fault
ss,2023-10-28 18:55:13,went,book1,Module 5,correct
ss,2023-10-28 18:59:15,went,book1,Module 5,fault
ss,2023-10-28 19:05:36,skirt,book1,Module 2,correct
ss,2023-10-28 19:12:27,become,book1,Module 6,correct
ss,2023-10-28 19:25:12,invent,book1,Module 4,fault
ss,2023-10-28 19:25:14,invent,book1,Module 4,correct
ss,2023-10-29 12:53:54,"发明, 创造",book1,Module 4,fault
ss,2023-10-29 12:56:01,"发明, 创造",book1,Module 4,fault
ss,2023-10-29 13:01:57,"发明, 创造",book1,Module 4,correct
ss,2023-10-29 15:06:45,纸,book1,Module 4,correct
ss,2023-10-29 15:06:52,重要的,book1,Module 4,fault
ss,2023-10-29 15:13:57,重要的,book1,Module 4,correct
ss,2023-10-29 15:14:30,印刷,book1,Module 4,fault
ss,2023-10-29 15:14:40,印刷,book1,Module 4,correct
ss,2023-10-29 15:15:18,印刷术,book1,Module 4,correct
ss,2023-10-29 15:15:25,"正确的, 对的",book1,Module 4,correct
ss,2023-10-29 15:15:30,在...之间,book1,Module 4,correct
ss,2023-10-29 15:15:37,自行车,book1,Module 4,correct
ss,2023-10-29 15:15:46,老鼠,book1,Module 4,correct
ss,2023-10-29 15:16:18,在...旁边,book1,Module 4,correct
ss,2023-10-29 15:16:20,男人,book1,Module 4,correct
7,2023-10-29 19:02:14,去（过去时态）,book1,Module 5,fault
7,2023-10-29 19:02:18,去（过去时态）,book1,Module 5,correct
7,2023-10-29 19:02:24,看见（过去时态）,book1,Module 5,fault
7,2023-10-29 19:02:27,看见（过去时态）,book1,Module 5,correct
7,2023-10-29 19:02:31,"出行, 旅行",book1,Module 5,fault
7,2023-10-29 19:02:34,"出行, 旅行",book1,Module 5,correct
7,2023-10-29 19:02:39,take 的过去式，需要花费,book1,Module 5,correct
7,2023-10-29 19:02:42,五十,book1,Module 5,correct
7,2023-10-29 19:02:46,分钟,book1,Module 5,fault
7,2023-10-29 19:02:49,分钟,book1,Module 5,correct
7,2023-10-29 19:02:51,顶部,book1,Module 5,correct
7,2023-10-29 19:02:55,山,book1,Module 5,fault
7,2023-10-29 19:02:57,山,book1,Module 5,correct
7,2023-10-29 19:03:08,吃（过去时态）,book1,Module 5,fault
7,2023-10-29 19:03:12,吃（过去时态）,book1,Module 5,correct
7,2023-10-29 19:03:16,糖果,book1,Module 5,correct
7,2023-10-29 19:03:19,植物,book1,Module 5,correct
7,2023-10-29 19:03:30,拥有,book1,Module 5,correct
7,2023-10-29 19:03:33,过得很愉快,book1,Module 5,correct
7,2023-10-29 19:03:35,买,book1,Module 5,fault
7,2023-10-29 19:03:39,买,book1,Module 5,correct
7,2023-10-29 19:03:41,穿,book1,Module 5,fault
7,2023-10-29 19:03:45,穿,book1,Module 5,correct
7,2023-10-29 19:03:47,去旅行,book1,Module 5,correct
7,2023-10-29 19:03:57,冰,book1,Module 5,correct
7,2023-10-29 19:04:00,"起初, 开始时",book1,Module 5,correct
7,2023-10-29 19:04:04,跌倒,book1,Module 5,correct
7,2023-10-29 19:04:07,摔倒,book1,Module 5,fault
7,2023-10-29 19:04:10,摔倒,book1,Module 5,correct
7,2023-10-29 19:04:14,伤害,book1,Module 5,correct
7,2023-10-29 19:04:17,"很多, 大量",book1,Module 5,fault
7,2023-10-29 19:04:19,"很多, 大量",book1,Module 5,correct
7,2023-10-29 19:04:23,有能力的,book1,Module 5,fault
7,2023-10-29 19:04:26,有能力的,book1,Module 5,correct
7,2023-10-29 19:04:30,能够,book1,Module 5,fault
7,2023-10-29 19:04:40,能够,book1,Module 5,correct
7,2023-10-29 19:04:49,滑冰,book1,Module 5,correct
ss,2023-10-29 21:09:41,invent,book1,Module 4,fault
ss,2023-10-29 21:10:46,paper,book1,Module 4,fault
ss,2023-10-29 21:14:51,important,book1,Module 4,correct
ss,2023-10-29 21:14:52,print,book1,Module 4,fault
ss,2023-10-29 21:14:55,printing,book1,Module 4,correct
ss,2023-10-29 21:14:58,right,book1,Module 4,correct
ss,2023-10-29 21:15:00,between,book1,Module 4,correct
ss,2023-10-29 21:15:02,bicycle,book1,Module 4,correct
ss,2023-10-29 21:15:16,mouse,book1,Module 4,correct
ss,2023-10-29 21:15:19,beside,book1,Module 4,correct
ss,2023-10-29 21:15:21,man,book1,Module 4,correct
ss,2023-10-29 21:28:31,dear,book1,Module 1,correct
ss,2023-10-29 21:28:32,well,book1,Module 1,fault
ss,2023-10-29 21:28:34,of,book1,Module 1,correct
ss,2023-10-29 21:28:35,soon,book1,Module 1,fault
ss,2023-10-29 21:28:36,tell,book1,Module 1,fault
ss,2023-10-29 21:28:37,love,book1,Module 1,fault
ss,2023-10-29 21:32:58,early,book1,Module 10,fault
ss,2023-10-29 21:33:00,every,book1,Module 10,correct
ss,2023-10-29 21:33:02,during,book1,Module 10,correct
ss,2023-10-29 21:33:05,computer game,book1,Module 10,correct
ss,2023-10-29 21:33:09,take,book1,Module 10,fault
ss,2023-10-29 21:33:11,medicine,book1,Module 10,correct
ss,2023-10-29 21:33:12,a lot of,book1,Module 10,fault
ss,2023-10-29 21:33:16,exercise,book1,Module 10,fault
ss,2023-10-29 21:33:18,salad,book1,Module 10,fault
ss,2023-10-29 21:33:19,healthy,book1,Module 10,correct
ss,2023-10-29 21:33:20,juice,book1,Module 10,correct
ss,2023-10-29 21:33:22,before,book1,Module 10,correct
ss,2023-10-29 21:33:26,after,book1,Module 10,correct
ss,2023-10-29 21:33:27,toilet,book1,Module 10,fault
ss,2023-10-29 21:37:45,dear,book1,Module 1,fault
ss,2023-10-29 21:37:46,well,book1,Module 1,fault
ss,2023-10-29 21:37:48,of,book1,Module 1,correct
ss,2023-10-29 21:37:49,soon,book1,Module 1,fault
ss,2023-10-29 21:37:52,tell,book1,Module 1,correct
ss,2023-10-29 21:37:53,love,book1,Module 1,correct
